id,archetype_id,archetype,context,platform,hook_first3s_pattern,hook_example_in_context,structure,length_sec,cuts_in_first6s,color_tone,caption_style,tempo,sound,product_first_seen_sec,closing_type,why_it_works,chenme_fit_1to5,yakkiho_risk,basis,data_type
AD061,A13,キネティックタイポ,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,1語目のテロップが0秒で大きく,『3日でこれ』の肌アップ→巻き戻し,言葉が画面を支配→最後に商品,6-10,5-6,単色BG×文字色,主役,速,リズム系BGM,6-8,英語1行,音OFF視聴に強い。ブランド語彙を刷り込む,4,低,字幕/テキスト重視（OpusClip：1チャンク1〜6秒）,型（公開レポート再構成）
AD062,A13,キネティックタイポ,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,1語目のテロップが0秒で大きく,『今日8時間立ってた人』のテロップ+足元,言葉が画面を支配→最後に商品,6-10,5-6,単色BG×文字色,主役,速,リズム系BGM,6-8,英語1行,音OFF視聴に強い。ブランド語彙を刷り込む,4,低,字幕/テキスト重視（OpusClip：1チャンク1〜6秒）,型（公開レポート再構成）
AD063,A13,キネティックタイポ,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,1語目のテロップが0秒で大きく,クッションのパフ音→頬に1回,言葉が画面を支配→最後に商品,6-10,5-6,単色BG×文字色,主役,速,リズム系BGM,6-8,英語1行,音OFF視聴に強い。ブランド語彙を刷り込む,4,低,字幕/テキスト重視（OpusClip：1チャンク1〜6秒）,型（公開レポート再構成）
AD064,A13,キネティックタイポ,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,1語目のテロップが0秒で大きく,ランプを点ける手→『おつかれ』,言葉が画面を支配→最後に商品,6-10,5-6,単色BG×文字色,主役,速,リズム系BGM,6-8,英語1行,音OFF視聴に強い。ブランド語彙を刷り込む,4,低,字幕/テキスト重視（OpusClip：1チャンク1〜6秒）,型（公開レポート再構成）
AD065,A13,キネティックタイポ,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,1語目のテロップが0秒で大きく,湯気/バブルの音→肩の力が抜ける,言葉が画面を支配→最後に商品,6-10,5-6,単色BG×文字色,主役,速,リズム系BGM,6-8,英語1行,音OFF視聴に強い。ブランド語彙を刷り込む,4,低,字幕/テキスト重視（OpusClip：1チャンク1〜6秒）,型（公開レポート再構成）
AD066,A14,靴を脱ぐ瞬間（Relief moment）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,ヒールを脱ぐ／ため息の音,『3日でこれ』の肌アップ→巻き戻し,解放→帰宅→ケア→眠り,10-15,2-3,玄関の暗さ→部屋の暖色,内心1行,中→遅,靴音→静寂→ため息,5-7,英語1行,「解放」は普遍的な快。身体変化を言わずに脚ケアへ橋渡しできる唯一級の導入,5,低,POV/relief系の定着＋自社分析,型（公開レポート再構成）
AD067,A14,靴を脱ぐ瞬間（Relief moment）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,ヒールを脱ぐ／ため息の音,『今日8時間立ってた人』のテロップ+足元,解放→帰宅→ケア→眠り,10-15,2-3,玄関の暗さ→部屋の暖色,内心1行,中→遅,靴音→静寂→ため息,5-7,英語1行,「解放」は普遍的な快。身体変化を言わずに脚ケアへ橋渡しできる唯一級の導入,5,低,POV/relief系の定着＋自社分析,型（公開レポート再構成）
AD068,A14,靴を脱ぐ瞬間（Relief moment）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,ヒールを脱ぐ／ため息の音,クッションのパフ音→頬に1回,解放→帰宅→ケア→眠り,10-15,2-3,玄関の暗さ→部屋の暖色,内心1行,中→遅,靴音→静寂→ため息,5-7,英語1行,「解放」は普遍的な快。身体変化を言わずに脚ケアへ橋渡しできる唯一級の導入,5,低,POV/relief系の定着＋自社分析,型（公開レポート再構成）
AD069,A14,靴を脱ぐ瞬間（Relief moment）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,ヒールを脱ぐ／ため息の音,ランプを点ける手→『おつかれ』,解放→帰宅→ケア→眠り,10-15,2-3,玄関の暗さ→部屋の暖色,内心1行,中→遅,靴音→静寂→ため息,5-7,英語1行,「解放」は普遍的な快。身体変化を言わずに脚ケアへ橋渡しできる唯一級の導入,5,低,POV/relief系の定着＋自社分析,型（公開レポート再構成）
AD070,A14,靴を脱ぐ瞬間（Relief moment）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,ヒールを脱ぐ／ため息の音,湯気/バブルの音→肩の力が抜ける,解放→帰宅→ケア→眠り,10-15,2-3,玄関の暗さ→部屋の暖色,内心1行,中→遅,靴音→静寂→ため息,5-7,英語1行,「解放」は普遍的な快。身体変化を言わずに脚ケアへ橋渡しできる唯一級の導入,5,低,POV/relief系の定着＋自社分析,型（公開レポート再構成）
AD071,A15,ルームツアー／棚（Shelfie）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,可愛い部屋・棚をパン,『3日でこれ』の肌アップ→巻き戻し,棚→アイテム→1つを取る→使う,12-20,3,ピンク・白・暖色,商品名のみ,中,ローファイ,4-6,『また並ぶ』,世界観そのものが商品。在庫切れ＝棚の空きが物語に,4,低,K-beautyの“aesthetic shelf”文脈（Pinterest/TT tag）,型（公開レポート再構成）
AD072,A15,ルームツアー／棚（Shelfie）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,可愛い部屋・棚をパン,『今日8時間立ってた人』のテロップ+足元,棚→アイテム→1つを取る→使う,12-20,3,ピンク・白・暖色,商品名のみ,中,ローファイ,4-6,『また並ぶ』,世界観そのものが商品。在庫切れ＝棚の空きが物語に,4,低,K-beautyの“aesthetic shelf”文脈（Pinterest/TT tag）,型（公開レポート再構成）
AD073,A15,ルームツアー／棚（Shelfie）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,可愛い部屋・棚をパン,クッションのパフ音→頬に1回,棚→アイテム→1つを取る→使う,12-20,3,ピンク・白・暖色,商品名のみ,中,ローファイ,4-6,『また並ぶ』,世界観そのものが商品。在庫切れ＝棚の空きが物語に,4,低,K-beautyの“aesthetic shelf”文脈（Pinterest/TT tag）,型（公開レポート再構成）
AD074,A15,ルームツアー／棚（Shelfie）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,可愛い部屋・棚をパン,ランプを点ける手→『おつかれ』,棚→アイテム→1つを取る→使う,12-20,3,ピンク・白・暖色,商品名のみ,中,ローファイ,4-6,『また並ぶ』,世界観そのものが商品。在庫切れ＝棚の空きが物語に,4,低,K-beautyの“aesthetic shelf”文脈（Pinterest/TT tag）,型（公開レポート再構成）
AD075,A15,ルームツアー／棚（Shelfie）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,可愛い部屋・棚をパン,湯気/バブルの音→肩の力が抜ける,棚→アイテム→1つを取る→使う,12-20,3,ピンク・白・暖色,商品名のみ,中,ローファイ,4-6,『また並ぶ』,世界観そのものが商品。在庫切れ＝棚の空きが物語に,4,低,K-beautyの“aesthetic shelf”文脈（Pinterest/TT tag）,型（公開レポート再構成）
AD076,A16,タイムラプス1日,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,朝→夜の脚の1日を高速で,『3日でこれ』の肌アップ→巻き戻し,移動/立つ/座る→帰宅→ケア,12-15,6-8,昼は現実、夜は暖色,時刻表示,速→急停止で遅,足音の連打→無音,9-11,英語1行,急停止の「静けさ」が商品の登場を強調,5,低,results timeline / relief の合成,型（公開レポート再構成）
AD077,A16,タイムラプス1日,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,朝→夜の脚の1日を高速で,『今日8時間立ってた人』のテロップ+足元,移動/立つ/座る→帰宅→ケア,12-15,6-8,昼は現実、夜は暖色,時刻表示,速→急停止で遅,足音の連打→無音,9-11,英語1行,急停止の「静けさ」が商品の登場を強調,5,低,results timeline / relief の合成,型（公開レポート再構成）
AD078,A16,タイムラプス1日,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,朝→夜の脚の1日を高速で,クッションのパフ音→頬に1回,移動/立つ/座る→帰宅→ケア,12-15,6-8,昼は現実、夜は暖色,時刻表示,速→急停止で遅,足音の連打→無音,9-11,英語1行,急停止の「静けさ」が商品の登場を強調,5,低,results timeline / relief の合成,型（公開レポート再構成）
AD079,A16,タイムラプス1日,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,朝→夜の脚の1日を高速で,ランプを点ける手→『おつかれ』,移動/立つ/座る→帰宅→ケア,12-15,6-8,昼は現実、夜は暖色,時刻表示,速→急停止で遅,足音の連打→無音,9-11,英語1行,急停止の「静けさ」が商品の登場を強調,5,低,results timeline / relief の合成,型（公開レポート再構成）
AD080,A16,タイムラプス1日,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,朝→夜の脚の1日を高速で,湯気/バブルの音→肩の力が抜ける,移動/立つ/座る→帰宅→ケア,12-15,6-8,昼は現実、夜は暖色,時刻表示,速→急停止で遅,足音の連打→無音,9-11,英語1行,急停止の「静けさ」が商品の登場を強調,5,低,results timeline / relief の合成,型（公開レポート再構成）
AD081,A17,友達との会話（2人）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,『それ何？』の一言,『3日でこれ』の肌アップ→巻き戻し,質問→見せる→『売り切れ』→笑う,10-15,3,自然光・部屋,会話字幕,中,声のみ,2-3,『再販待ち』,第三者の質問は広告臭を消す。在庫切れをネタにできる,4,中,UGC対話型,型（公開レポート再構成）
AD082,A17,友達との会話（2人）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,『それ何？』の一言,『今日8時間立ってた人』のテロップ+足元,質問→見せる→『売り切れ』→笑う,10-15,3,自然光・部屋,会話字幕,中,声のみ,2-3,『再販待ち』,第三者の質問は広告臭を消す。在庫切れをネタにできる,4,中,UGC対話型,型（公開レポート再構成）
AD083,A17,友達との会話（2人）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,『それ何？』の一言,クッションのパフ音→頬に1回,質問→見せる→『売り切れ』→笑う,10-15,3,自然光・部屋,会話字幕,中,声のみ,2-3,『再販待ち』,第三者の質問は広告臭を消す。在庫切れをネタにできる,4,中,UGC対話型,型（公開レポート再構成）
AD084,A17,友達との会話（2人）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,『それ何？』の一言,ランプを点ける手→『おつかれ』,質問→見せる→『売り切れ』→笑う,10-15,3,自然光・部屋,会話字幕,中,声のみ,2-3,『再販待ち』,第三者の質問は広告臭を消す。在庫切れをネタにできる,4,中,UGC対話型,型（公開レポート再構成）
AD085,A17,友達との会話（2人）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,『それ何？』の一言,湯気/バブルの音→肩の力が抜ける,質問→見せる→『売り切れ』→笑う,10-15,3,自然光・部屋,会話字幕,中,声のみ,2-3,『再販待ち』,第三者の質問は広告臭を消す。在庫切れをネタにできる,4,中,UGC対話型,型（公開レポート再構成）
AD086,A18,ミニ商品/パッケージ愛,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,パケの可愛さを手に取る0秒,『3日でこれ』の肌アップ→巻き戻し,パケ→ディテール→置く,6-10,3,高キー・ピンク,なし,中,SE,0,ロゴ,「可愛いから欲しい」層。ラベルのイラストが強い商品向き,5,低,K-beautyトレンド：mini products/packaging（BeautyMatter）,型（公開レポート再構成）
AD087,A18,ミニ商品/パッケージ愛,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,パケの可愛さを手に取る0秒,『今日8時間立ってた人』のテロップ+足元,パケ→ディテール→置く,6-10,3,高キー・ピンク,なし,中,SE,0,ロゴ,「可愛いから欲しい」層。ラベルのイラストが強い商品向き,5,低,K-beautyトレンド：mini products/packaging（BeautyMatter）,型（公開レポート再構成）
AD088,A18,ミニ商品/パッケージ愛,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,パケの可愛さを手に取る0秒,クッションのパフ音→頬に1回,パケ→ディテール→置く,6-10,3,高キー・ピンク,なし,中,SE,0,ロゴ,「可愛いから欲しい」層。ラベルのイラストが強い商品向き,5,低,K-beautyトレンド：mini products/packaging（BeautyMatter）,型（公開レポート再構成）
AD089,A18,ミニ商品/パッケージ愛,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,パケの可愛さを手に取る0秒,ランプを点ける手→『おつかれ』,パケ→ディテール→置く,6-10,3,高キー・ピンク,なし,中,SE,0,ロゴ,「可愛いから欲しい」層。ラベルのイラストが強い商品向き,5,低,K-beautyトレンド：mini products/packaging（BeautyMatter）,型（公開レポート再構成）
AD090,A18,ミニ商品/パッケージ愛,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,パケの可愛さを手に取る0秒,湯気/バブルの音→肩の力が抜ける,パケ→ディテール→置く,6-10,3,高キー・ピンク,なし,中,SE,0,ロゴ,「可愛いから欲しい」層。ラベルのイラストが強い商品向き,5,低,K-beautyトレンド：mini products/packaging（BeautyMatter）,型（公開レポート再構成）
AD091,A19,静止→動く（Stop-motion）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,商品が置かれる音とカクカク動作,『3日でこれ』の肌アップ→巻き戻し,静→動→静,8-12,4,単色BG,なし,速,カチカチSE,0,英語1行,リズムで保存・リピート視聴,3,低,stop-motion（汎用トレンド）※ボトル改変に注意：位置移動のみ可,型（公開レポート再構成）
AD092,A19,静止→動く（Stop-motion）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,商品が置かれる音とカクカク動作,『今日8時間立ってた人』のテロップ+足元,静→動→静,8-12,4,単色BG,なし,速,カチカチSE,0,英語1行,リズムで保存・リピート視聴,3,低,stop-motion（汎用トレンド）※ボトル改変に注意：位置移動のみ可,型（公開レポート再構成）
AD093,A19,静止→動く（Stop-motion）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,商品が置かれる音とカクカク動作,クッションのパフ音→頬に1回,静→動→静,8-12,4,単色BG,なし,速,カチカチSE,0,英語1行,リズムで保存・リピート視聴,3,低,stop-motion（汎用トレンド）※ボトル改変に注意：位置移動のみ可,型（公開レポート再構成）
AD094,A19,静止→動く（Stop-motion）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,商品が置かれる音とカクカク動作,ランプを点ける手→『おつかれ』,静→動→静,8-12,4,単色BG,なし,速,カチカチSE,0,英語1行,リズムで保存・リピート視聴,3,低,stop-motion（汎用トレンド）※ボトル改変に注意：位置移動のみ可,型（公開レポート再構成）
AD095,A19,静止→動く（Stop-motion）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,商品が置かれる音とカクカク動作,湯気/バブルの音→肩の力が抜ける,静→動→静,8-12,4,単色BG,なし,速,カチカチSE,0,英語1行,リズムで保存・リピート視聴,3,低,stop-motion（汎用トレンド）※ボトル改変に注意：位置移動のみ可,型（公開レポート再構成）
AD096,A20,再販ティザー（Coming back）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,『Something's coming back』を無言で,『3日でこれ』の肌アップ→巻き戻し,期待→ディテール→日付なし→通知,6-10,2,ブランド色,英語のみ,遅,ピアノ,2-3,Get notified,主張なしのティザーは景表/FTC上も安全で、保存・通知に転換する,5,低,restock countdown：Day1は主張なしティザー（influencers-time）,型（公開レポート再構成）
AD097,A20,再販ティザー（Coming back）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,『Something's coming back』を無言で,『今日8時間立ってた人』のテロップ+足元,期待→ディテール→日付なし→通知,6-10,2,ブランド色,英語のみ,遅,ピアノ,2-3,Get notified,主張なしのティザーは景表/FTC上も安全で、保存・通知に転換する,5,低,restock countdown：Day1は主張なしティザー（influencers-time）,型（公開レポート再構成）
AD098,A20,再販ティザー（Coming back）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,『Something's coming back』を無言で,クッションのパフ音→頬に1回,期待→ディテール→日付なし→通知,6-10,2,ブランド色,英語のみ,遅,ピアノ,2-3,Get notified,主張なしのティザーは景表/FTC上も安全で、保存・通知に転換する,5,低,restock countdown：Day1は主張なしティザー（influencers-time）,型（公開レポート再構成）
AD099,A20,再販ティザー（Coming back）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,『Something's coming back』を無言で,ランプを点ける手→『おつかれ』,期待→ディテール→日付なし→通知,6-10,2,ブランド色,英語のみ,遅,ピアノ,2-3,Get notified,主張なしのティザーは景表/FTC上も安全で、保存・通知に転換する,5,低,restock countdown：Day1は主張なしティザー（influencers-time）,型（公開レポート再構成）
AD100,A20,再販ティザー（Coming back）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,『Something's coming back』を無言で,湯気/バブルの音→肩の力が抜ける,期待→ディテール→日付なし→通知,6-10,2,ブランド色,英語のみ,遅,ピアノ,2-3,Get notified,主張なしのティザーは景表/FTC上も安全で、保存・通知に転換する,5,低,restock countdown：Day1は主張なしティザー（influencers-time）,型（公開レポート再構成）
